Date,Open,High,Low,Close,Adj Close,Volume
,,,,,,
2025-06-06,172.30 ,175.83 ,172.30 ,174.92 ,174.92 ,22246900 
2025-06-05,171.62 ,172.36 ,169.35 ,169.81 ,169.81 ,25422900 
2025-06-04,168.28 ,169.58 ,167.79 ,169.39 ,169.39 ,18508700 
2025-06-03,168.87 ,169.80 ,166.68 ,167.71 ,167.71 ,25386700 
2025-06-02,169.01 ,171.06 ,168.65 ,170.37 ,170.37 ,24742900 
2025-05-30,172.41 ,173.44 ,168.52 ,172.85 ,172.85 ,36258300 
2025-05-29,175.00 ,175.40 ,171.78 ,172.96 ,172.96 ,21233600 
2025-05-28,173.98 ,176.48 ,173.01 ,173.38 ,173.38 ,25999200 
2025-05-27,171.30 ,174.29 ,171.21 ,173.98 ,173.98 ,24341300 
2025-05-23,170.28 ,171.21 ,169.26 ,169.59 ,169.59 ,24963600 
2025-05-22,173.35 ,178.13 ,171.88 ,171.98 ,171.98 ,45024100 
2025-05-21,164.95 ,174.53 ,164.89 ,170.06 ,170.06 ,45567600 
2025-05-20,167.76 ,169.68 ,164.26 ,165.32 ,165.32 ,33563300 
2025-05-19,165.71 ,167.95 ,165.41 ,167.87 ,167.87 ,21374700 
2025-05-16,168.93 ,170.65 ,166.95 ,167.43 ,167.43 ,36271400 
2025-05-15,167.14 ,167.51 ,163.84 ,165.40 ,165.40 ,22717600 
2025-05-14,161.31 ,168.34 ,160.93 ,166.81 ,166.81 ,31769200 
2025-05-13,159.92 ,162.06 ,157.58 ,160.89 ,160.89 ,24944300 
2025-05-12,159.10 ,160.44 ,157.89 ,159.58 ,159.58 ,31884900 
2025-05-09,155.55 ,156.43 ,153.83 ,154.38 ,154.38 ,22871000 
2025-05-08,155.92 ,157.41 ,154.10 ,155.75 ,155.75 ,38387500 
2025-05-07,166.07 ,166.99 ,149.49 ,152.80 ,152.80 ,78729800 
2025-05-06,163.96 ,166.74 ,163.13 ,165.20 ,165.20 ,10691900 
